iter	Passed	Remaining
0	14	14970
1	25	12810
2	34	11380
3	42	10677
4	51	10212
5	59	9812
6	66	9382
7	74	9237
8	80	8868
9	87	8621
10	93	8447
11	101	8357
12	108	8235
13	115	8125
14	123	8088
15	129	7983
16	136	7913
17	144	7866
18	152	7857
19	159	7819
20	167	7798
21	174	7774
22	182	7750
23	190	7727
24	197	7717
25	205	7697
26	213	7689
27	221	7676
28	228	7659
29	236	7659
30	243	7613
31	250	7562
32	256	7518
33	262	7454
34	268	7398
35	274	7346
36	280	7299
37	287	7281
38	295	7290
39	303	7273
40	311	7283
41	318	7266
42	326	7274
43	334	7258
44	341	7246
45	349	7242
46	356	7221
47	363	7216
48	371	7210
49	379	7201
50	386	7189
51	393	7181
52	401	7167
53	409	7165
54	417	7168
55	424	7159
56	431	7144
57	439	7145
58	448	7145
59	454	7116
60	460	7082
61	465	7046
62	472	7026
63	479	7018
64	487	7014
65	495	7009
66	501	6982
67	507	6957
68	514	6936
69	519	6907
70	525	6878
71	531	6852
72	537	6829
73	544	6815
74	552	6817
75	560	6814
76	568	6808
77	575	6801
78	582	6790
79	590	6786
80	596	6771
81	604	6770
82	612	6767
83	620	6768
84	628	6768
85	636	6763
86	643	6757
87	651	6751
88	658	6742
89	667	6747
90	674	6738
91	682	6735
92	690	6729
93	697	6718
94	705	6720
95	712	6709
96	719	6702
97	727	6699
98	735	6696
99	742	6685
100	750	6676
101	756	6658
102	761	6635
103	767	6614
104	773	6595
105	781	6587
106	788	6580
107	796	6579
108	804	6576
109	812	6570
110	819	6561
111	826	6556
112	834	6553
113	842	6547
114	850	6543
115	857	6533
116	864	6527
117	872	6518
118	879	6513
119	886	6503
120	894	6497
121	901	6491
122	909	6485
123	916	6472
124	924	6469
125	930	6454
126	938	6448
127	945	6443
128	953	6436
129	961	6431
130	968	6423
131	975	6417
132	983	6409
133	990	6402
134	997	6392
135	1003	6374
136	1009	6356
137	1015	6345
138	1023	6336
139	1031	6334
140	1038	6328
141	1046	6321
142	1053	6315
143	1060	6306
144	1068	6302
145	1076	6297
146	1080	6270
147	1088	6263
148	1095	6258
149	1102	6249
150	1110	6241
151	1117	6237
152	1125	6231
153	1132	6222
154	1140	6218
155	1147	6209
156	1155	6203
157	1163	6198
158	1170	6189
159	1177	6184
160	1186	6180
161	1193	6172
162	1200	6164
163	1208	6158
164	1215	6151
165	1222	6144
166	1230	6139
167	1238	6133
168	1246	6127
169	1254	6125
170	1262	6118
171	1269	6112
172	1277	6108
173	1285	6102
174	1292	6093
175	1300	6086
176	1307	6079
177	1315	6073
178	1321	6062
179	1329	6058
180	1338	6054
181	1346	6050
182	1353	6041
183	1361	6036
184	1368	6028
185	1375	6021
186	1383	6015
187	1391	6010
188	1399	6003
189	1405	5991
190	1413	5985
191	1419	5974
192	1425	5960
193	1431	5946
194	1439	5940
195	1447	5937
196	1454	5930
197	1462	5924
198	1469	5916
199	1477	5911
200	1485	5904
201	1492	5898
202	1499	5887
203	1505	5875
204	1511	5861
205	1517	5849
206	1524	5840
207	1532	5836
208	1540	5831
209	1548	5825
210	1555	5817
211	1563	5810
212	1571	5805
213	1580	5806
214	1588	5799
215	1595	5792
216	1603	5786
217	1611	5780
218	1618	5773
219	1627	5770
220	1636	5768
221	1643	5760
222	1651	5755
223	1659	5749
224	1666	5741
225	1674	5735
226	1682	5729
227	1690	5724
228	1695	5710
229	1703	5701
230	1710	5692
231	1717	5685
232	1726	5682
233	1734	5677
234	1742	5673
235	1750	5665
236	1756	5654
237	1762	5641
238	1767	5628
239	1773	5616
240	1779	5604
241	1785	5593
242	1792	5585
243	1801	5580
244	1808	5571
245	1815	5564
246	1822	5554
247	1829	5547
248	1836	5540
249	1845	5536
250	1853	5530
251	1860	5523
252	1868	5516
253	1875	5508
254	1882	5500
255	1889	5492
256	1897	5485
257	1905	5478
258	1911	5469
259	1917	5457
260	1925	5452
261	1933	5447
262	1941	5442
263	1951	5441
264	1959	5435
265	1967	5428
266	1975	5424
267	1983	5417
268	1992	5413
269	1998	5404
270	2004	5392
271	2010	5381
272	2016	5370
273	2022	5358
274	2030	5353
275	2037	5345
276	2045	5339
277	2053	5333
278	2061	5326
279	2069	5320
280	2077	5314
281	2085	5309
282	2093	5304
283	2102	5300
284	2109	5291
285	2119	5291
286	2126	5283
287	2134	5276
288	2141	5269
289	2149	5262
290	2157	5256
291	2164	5247
292	2172	5241
293	2179	5233
294	2186	5226
295	2193	5217
296	2201	5210
297	2208	5203
298	2216	5196
299	2223	5189
300	2230	5180
301	2237	5171
302	2243	5160
303	2249	5150
304	2256	5142
305	2263	5132
306	2270	5125
307	2277	5116
308	2284	5109
309	2292	5102
310	2300	5096
311	2308	5089
312	2315	5083
313	2323	5075
314	2330	5067
315	2337	5059
316	2345	5054
317	2352	5045
318	2360	5039
319	2368	5032
320	2375	5024
321	2383	5017
322	2388	5006
323	2394	4995
324	2400	4986
325	2406	4976
326	2414	4970
327	2422	4962
328	2428	4952
329	2434	4943
330	2442	4936
331	2450	4929
332	2458	4923
333	2465	4916
334	2472	4909
335	2480	4902
336	2487	4892
337	2495	4887
338	2502	4880
339	2510	4873
340	2518	4866
341	2525	4859
342	2532	4851
343	2540	4844
344	2548	4837
345	2556	4832
346	2563	4823
347	2570	4816
348	2578	4810
349	2586	4803
350	2594	4797
351	2600	4787
352	2608	4780
353	2615	4773
354	2623	4765
355	2629	4757
356	2637	4750
357	2645	4743
358	2653	4737
359	2660	4730
360	2668	4723
361	2675	4716
362	2683	4709
363	2690	4701
364	2697	4693
365	2704	4684
366	2710	4675
367	2716	4666
368	2722	4655
369	2728	4646
370	2734	4636
371	2740	4626
372	2746	4617
373	2753	4608
374	2759	4599
375	2767	4592
376	2774	4585
377	2782	4578
378	2789	4571
379	2797	4564
380	2805	4557
381	2812	4550
382	2820	4543
383	2827	4535
384	2834	4528
385	2841	4520
386	2849	4514
387	2856	4506
388	2864	4498
389	2871	4491
390	2878	4484
391	2884	4474
392	2892	4468
393	2899	4459
394	2906	4452
395	2914	4444
396	2921	4437
397	2928	4430
398	2936	4422
399	2943	4415
400	2951	4408
401	2958	4401
402	2966	4394
403	2973	4386
404	2981	4379
405	2989	4373
406	2995	4364
407	3001	4355
408	3007	4346
409	3013	4336
410	3019	4327
411	3025	4317
412	3031	4308
413	3038	4300
414	3045	4293
415	3052	4285
416	3060	4278
417	3067	4271
418	3075	4264
419	3083	4257
420	3090	4250
421	3098	4243
422	3105	4236
423	3113	4229
424	3120	4221
425	3127	4214
426	3135	4207
427	3141	4198
428	3149	4191
429	3156	4184
430	3163	4176
431	3171	4169
432	3179	4162
433	3186	4155
434	3193	4148
435	3201	4141
436	3209	4134
437	3216	4127
438	3224	4120
439	3231	4112
440	3238	4104
441	3244	4095
442	3249	4086
443	3255	4077
444	3263	4070
445	3270	4062
446	3277	4055
447	3285	4048
448	3292	4040
449	3300	4033
450	3306	4025
451	3314	4018
452	3322	4011
453	3329	4004
454	3337	3998
455	3344	3990
456	3352	3983
457	3358	3974
458	3363	3964
459	3369	3955
460	3376	3947
461	3383	3940
462	3391	3933
463	3398	3925
464	3406	3918
465	3414	3912
466	3421	3905
467	3429	3898
468	3436	3891
469	3444	3884
470	3452	3877
471	3459	3869
472	3466	3862
473	3472	3853
474	3479	3846
475	3486	3837
476	3491	3828
477	3498	3821
478	3507	3814
479	3514	3807
480	3522	3800
481	3530	3794
482	3538	3787
483	3545	3779
484	3551	3771
485	3559	3764
486	3566	3757
487	3575	3750
488	3582	3743
489	3590	3736
490	3597	3729
491	3604	3722
492	3612	3715
493	3621	3709
494	3628	3702
495	3636	3694
496	3644	3688
497	3651	3680
498	3658	3672
499	3666	3666
500	3674	3659
501	3682	3653
502	3690	3646
503	3698	3639
504	3706	3632
505	3713	3625
506	3722	3619
507	3728	3611
508	3735	3603
509	3743	3596
510	3751	3589
511	3758	3582
512	3766	3575
513	3774	3568
514	3781	3561
515	3790	3555
516	3797	3547
517	3805	3541
518	3812	3533
519	3820	3526
520	3827	3519
521	3835	3512
522	3842	3504
523	3850	3497
524	3857	3490
525	3864	3482
526	3872	3475
527	3879	3468
528	3887	3461
529	3895	3454
530	3903	3447
531	3910	3440
532	3918	3433
533	3925	3425
534	3933	3419
535	3940	3411
536	3948	3404
537	3955	3396
538	3963	3389
539	3969	3381
540	3977	3374
541	3984	3366
542	3990	3358
543	3995	3349
544	4002	3341
545	4010	3334
546	4017	3327
547	4025	3320
548	4032	3312
549	4039	3305
550	4046	3297
551	4054	3290
552	4062	3284
553	4072	3278
554	4079	3271
555	4087	3263
556	4094	3256
557	4102	3249
558	4109	3241
559	4115	3233
560	4123	3226
561	4130	3219
562	4138	3212
563	4146	3205
564	4153	3197
565	4161	3190
566	4168	3183
567	4176	3176
568	4185	3170
569	4193	3163
570	4200	3155
571	4208	3149
572	4215	3141
573	4223	3134
574	4229	3126
575	4236	3118
576	4242	3110
577	4248	3101
578	4254	3093
579	4260	3085
580	4266	3076
581	4272	3068
582	4279	3061
583	4288	3054
584	4295	3047
585	4302	3039
586	4309	3032
587	4318	3025
588	4325	3018
589	4332	3010
590	4341	3004
591	4347	2996
592	4353	2987
593	4360	2980
594	4368	2973
595	4376	2966
596	4384	2959
597	4392	2952
598	4400	2945
599	4408	2938
600	4415	2931
601	4422	2924
602	4430	2917
603	4437	2909
604	4445	2902
605	4453	2895
606	4459	2887
607	4466	2879
608	4474	2872
609	4481	2865
610	4487	2856
611	4492	2848
612	4498	2840
613	4504	2831
614	4512	2824
615	4520	2817
616	4529	2811
617	4536	2804
618	4543	2796
619	4551	2789
620	4559	2782
621	4566	2775
622	4573	2767
623	4581	2760
624	4587	2752
625	4595	2745
626	4602	2738
627	4610	2731
628	4617	2723
629	4625	2716
630	4633	2709
631	4641	2702
632	4647	2694
633	4655	2687
634	4662	2680
635	4670	2672
636	4677	2665
637	4685	2658
638	4693	2651
639	4701	2644
640	4709	2637
641	4716	2630
642	4723	2622
643	4729	2614
644	4735	2606
645	4742	2598
646	4749	2591
647	4757	2584
648	4764	2576
649	4772	2569
650	4779	2562
651	4787	2555
652	4794	2547
653	4802	2540
654	4809	2533
655	4816	2525
656	4824	2518
657	4831	2510
658	4837	2503
659	4843	2495
660	4851	2488
661	4858	2480
662	4866	2473
663	4873	2466
664	4881	2459
665	4889	2451
666	4895	2443
667	4902	2436
668	4910	2429
669	4918	2422
670	4925	2415
671	4932	2407
672	4941	2400
673	4948	2393
674	4956	2386
675	4964	2379
676	4971	2372
677	4978	2364
678	4985	2356
679	4992	2349
680	5001	2342
681	5008	2335
682	5016	2328
683	5023	2320
684	5031	2313
685	5038	2306
686	5045	2298
687	5052	2291
688	5059	2283
689	5066	2276
690	5074	2269
691	5081	2261
692	5088	2254
693	5097	2247
694	5105	2240
695	5114	2233
696	5121	2226
697	5129	2219
698	5136	2211
699	5144	2204
700	5152	2197
701	5160	2190
702	5166	2182
703	5174	2175
704	5181	2167
705	5188	2160
706	5196	2153
707	5206	2147
708	5215	2140
709	5224	2134
710	5231	2126
711	5237	2118
712	5242	2110
713	5250	2102
714	5258	2096
715	5265	2088
716	5273	2081
717	5280	2074
718	5288	2066
719	5296	2059
720	5303	2052
721	5309	2044
722	5317	2037
723	5323	2029
724	5329	2021
725	5335	2013
726	5341	2005
727	5349	1998
728	5357	1991
729	5364	1984
730	5373	1977
731	5379	1969
732	5386	1962
733	5395	1955
734	5403	1948
735	5410	1940
736	5418	1933
737	5426	1926
738	5433	1919
739	5441	1911
740	5449	1904
741	5456	1897
742	5463	1889
743	5471	1882
744	5477	1874
745	5484	1867
746	5491	1860
747	5497	1852
748	5503	1844
749	5511	1837
750	5516	1829
751	5524	1821
752	5532	1814
753	5539	1807
754	5547	1800
755	5555	1792
756	5563	1785
757	5570	1778
758	5577	1771
759	5584	1763
760	5592	1756
761	5600	1749
762	5607	1741
763	5615	1734
764	5623	1727
765	5630	1720
766	5637	1712
767	5644	1704
768	5650	1697
769	5655	1689
770	5661	1681
771	5667	1673
772	5673	1665
773	5680	1658
774	5688	1651
775	5695	1644
776	5702	1636
777	5710	1629
778	5716	1621
779	5722	1613
780	5727	1606
781	5734	1598
782	5739	1590
783	5746	1583
784	5754	1576
785	5761	1568
786	5769	1561
787	5777	1554
788	5783	1546
789	5791	1539
790	5798	1532
791	5805	1524
792	5811	1517
793	5819	1509
794	5826	1502
795	5835	1495
796	5842	1488
797	5850	1480
798	5857	1473
799	5864	1466
800	5872	1458
801	5879	1451
802	5885	1443
803	5892	1436
804	5900	1429
805	5907	1421
806	5915	1414
807	5922	1407
808	5929	1399
809	5937	1392
810	5943	1385
811	5951	1378
812	5959	1370
813	5966	1363
814	5972	1355
815	5978	1348
816	5984	1340
817	5991	1333
818	5999	1325
819	6006	1318
820	6014	1311
821	6021	1303
822	6028	1296
823	6035	1289
824	6043	1282
825	6050	1274
826	6057	1267
827	6064	1259
828	6072	1252
829	6080	1245
830	6087	1238
831	6094	1230
832	6102	1223
833	6109	1216
834	6116	1208
835	6125	1201
836	6132	1194
837	6139	1186
838	6147	1179
839	6154	1172
840	6163	1165
841	6170	1157
842	6178	1150
843	6186	1143
844	6194	1136
845	6201	1128
846	6208	1121
847	6215	1114
848	6222	1106
849	6230	1099
850	6237	1092
851	6243	1084
852	6248	1076
853	6254	1069
854	6259	1061
855	6265	1053
856	6272	1046
857	6279	1039
858	6287	1031
859	6293	1024
860	6300	1017
861	6305	1009
862	6313	1002
863	6321	995
864	6327	987
865	6335	980
866	6342	972
867	6349	965
868	6357	958
869	6364	951
870	6372	943
871	6379	936
872	6386	929
873	6394	921
874	6402	914
875	6409	907
876	6417	900
877	6425	892
878	6433	885
879	6440	878
880	6448	870
881	6455	863
882	6461	856
883	6467	848
884	6473	841
885	6480	833
886	6487	826
887	6495	819
888	6502	811
889	6510	804
890	6518	797
891	6526	790
892	6534	783
893	6541	775
894	6548	768
895	6556	761
896	6564	753
897	6571	746
898	6579	739
899	6585	731
900	6594	724
901	6601	717
902	6609	709
903	6616	702
904	6625	695
905	6632	688
906	6640	680
907	6648	673
908	6654	666
909	6662	658
910	6669	651
911	6678	644
912	6686	637
913	6694	629
914	6701	622
915	6708	615
916	6714	607
917	6720	600
918	6726	592
919	6732	585
920	6738	578
921	6744	570
922	6751	563
923	6758	555
924	6766	548
925	6771	541
926	6779	533
927	6787	526
928	6795	519
929	6801	511
930	6808	504
931	6815	497
932	6823	489
933	6830	482
934	6837	475
935	6844	468
936	6852	460
937	6859	453
938	6867	446
939	6874	438
940	6881	431
941	6889	424
942	6897	416
943	6904	409
944	6912	402
945	6919	394
946	6927	387
947	6935	380
948	6942	373
949	6950	365
950	6955	358
951	6961	351
952	6967	343
953	6973	336
954	6980	328
955	6987	321
956	6995	314
957	7002	307
958	7009	299
959	7017	292
960	7024	285
961	7032	277
962	7039	270
963	7046	263
964	7054	255
965	7062	248
966	7069	241
967	7077	233
968	7084	226
969	7091	219
970	7099	212
971	7106	204
972	7114	197
973	7121	190
974	7129	182
975	7135	175
976	7143	168
977	7150	160
978	7158	153
979	7166	146
980	7172	138
981	7180	131
982	7187	124
983	7194	116
984	7199	109
985	7206	102
986	7213	95
987	7220	87
988	7229	80
989	7236	73
990	7242	65
991	7250	58
992	7257	51
993	7264	43
994	7273	36
995	7279	29
996	7285	21
997	7294	14
998	7301	7
999	7308	0
